# Source: Český statistický úřad (ČSÚ), open data set OBY02B 'Počet obyvatel podle pohlaví a jednotek věku'
# URL: https://data.csu.gov.cz/opendata/sady/OBY02B/distribuce/csv (documentation https://data.csu.gov.cz/datastat/info/SADA/OBY02B)
# Rows used: territory CZ, indicator 2406P 'Počet obyvatel k 1. 1.', reference 1. 1. 2025
# Downloaded: 2026-09-02, raw md5 45e7a9220826f581989a66818216d44f; reduced by substrate/pipeline/data_acquisition/fetch_csu.py
# Licence: CC BY 4.0, Zdroj: ČSÚ (https://csu.gov.cz/podminky_pro_vyuzivani_a_dalsi_zverejnovani_statistickych_udaju_csu); derived table, not official ČSÚ statistics
# age 100 = '100 a více'; count = persons
age,sex,count
0,f,41127
0,m,43578
1,f,45023
1,m,47643
2,f,50452
2,m,53206
3,f,56985
3,m,59670
4,f,55499
4,m,57875
5,f,56512
5,m,59473
6,f,58117
6,m,60486
7,f,58356
7,m,61287
8,f,58146
8,m,61209
9,f,57293
9,m,60293
10,f,57199
10,m,60142
11,f,55804
11,m,58722
12,f,57092
12,m,59454
13,f,56667
13,m,59620
14,f,60282
14,m,63571
15,f,61339
15,m,64078
16,f,62063
16,m,65792
17,f,60628
17,m,66250
18,f,56730
18,m,65041
19,f,56017
19,m,60648
20,f,54348
20,m,57033
21,f,53134
21,m,53005
22,f,52174
22,m,52813
23,f,51067
23,m,51833
24,f,50828
24,m,52871
25,f,50081
25,m,51643
26,f,51053
26,m,53077
27,f,51699
27,m,53770
28,f,52132
28,m,54352
29,f,54660
29,m,57870
30,f,60218
30,m,63201
31,f,66559
31,m,70421
32,f,66800
32,m,71286
33,f,70421
33,m,74839
34,f,70986
34,m,74868
35,f,70117
35,m,73598
36,f,72972
36,m,75501
37,f,71609
37,m,75382
38,f,72952
38,m,76045
39,f,74030
39,m,77155
40,f,74305
40,m,77278
41,f,74742
41,m,77225
42,f,75838
42,m,78214
43,f,75795
43,m,78675
44,f,79514
44,m,83166
45,f,87204
45,m,90814
46,f,89819
46,m,93288
47,f,91461
47,m,94057
48,f,93527
48,m,96351
49,f,95110
49,m,97385
50,f,95560
50,m,98285
51,f,88940
51,m,92333
52,f,81064
52,m,82731
53,f,76419
53,m,77866
54,f,73229
54,m,74099
55,f,69994
55,m,70989
56,f,66408
56,m,66640
57,f,66204
57,m,66532
58,f,66877
58,m,66524
59,f,68840
59,m,68236
60,f,71450
60,m,71142
61,f,69112
61,m,67947
62,f,61927
62,m,60228
63,f,60247
63,m,57779
64,f,58438
64,m,56033
65,f,57794
65,m,54177
66,f,62614
66,m,56757
67,f,66406
67,m,59476
68,f,68743
68,m,59998
69,f,68623
69,m,58945
70,f,68786
70,m,57582
71,f,68291
71,m,56466
72,f,68905
72,m,55276
73,f,68669
73,m,53011
74,f,66045
74,m,50396
75,f,63297
75,m,46932
76,f,63308
76,m,46477
77,f,64519
77,m,45524
78,f,60304
78,m,41049
79,f,47386
79,m,30329
80,f,47584
80,m,29912
81,f,43926
81,m,26950
82,f,37052
82,m,22142
83,f,33475
83,m,19148
84,f,30560
84,m,17113
85,f,25336
85,m,13123
86,f,22083
86,m,11034
87,f,18815
87,m,8871
88,f,16373
88,m,7351
89,f,13944
89,m,6010
90,f,11998
90,m,4840
91,f,9990
91,m,3840
92,f,8209
92,m,3064
93,f,6262
93,m,2274
94,f,4852
94,m,1602
95,f,3288
95,m,941
96,f,2303
96,m,662
97,f,1479
97,m,385
98,f,1004
98,m,237
99,f,655
99,m,138
100,f,848
100,m,129
