# Source: Český statistický úřad (ČSÚ), open data set OBY02A 'Počet obyvatel podle pohlaví' (municipalities) + Česká pošta 'Seznam PSČ částí obcí a obcí bez částí'
# URL: https://data.csu.gov.cz/opendata/sady/OBY02A/distribuce/csv (documentation https://data.csu.gov.cz/datastat/info/SADA/OBY02A); postal codes https://www.ceskaposta.cz/documents/d/guest/db_pcobc-zip?download=true (https://www.ceskaposta.cz/cs/ke-stazeni/zakaznicke-vystupy)
# Rows used: six-digit municipality codes, indicator 2406P 'Počet obyvatel k 1. 1.', both sexes, reference 1. 1. 2026; district/region from the LAU1/NUTS3 rows of the same set
# Downloaded: 2026-09-02, raw md5 OBY02A b78bf3127fdede5d4090fabfbdddfa21, postal list faca019178260cb9abe24d4741381855; reduced by substrate/pipeline/data_acquisition/fetch_csu.py
# Kept 6254 municipalities with population > 0; skipped 4 with 0 (military areas); 0 without a postal-code match: none
# Licence: CC BY 4.0, Zdroj: ČSÚ (https://csu.gov.cz/podminky_pro_vyuzivani_a_dalsi_zverejnovani_statistickych_udaju_csu); derived table, not official ČSÚ statistics. Postal codes: public Czech Post customer output.
# postal_codes = all postal codes of the municipality's parts, '|'-separated
code,city,district,region,population,postal_codes
500011,Želechovice nad Dřevnicí,Zlín,Zlínský kraj,1897,76311
500020,Petrov nad Desnou,Šumperk,Olomoucký kraj,1226,78814|78816
500046,Libhošť,Nový Jičín,Moravskoslezský kraj,1769,74257
500062,Krhová,Vsetín,Zlínský kraj,2165,75663
500071,Poličná,Vsetín,Zlínský kraj,1798,75701
500101,Bražec,Karlovy Vary,Karlovarský kraj,264,36471
500127,Doupovské Hradiště,Karlovy Vary,Karlovarský kraj,172,36272|36471
500135,Kozlov,Olomouc,Olomoucký kraj,256,75131|78357
500151,Luboměř pod Strážnou,Přerov,Olomoucký kraj,119,75362
500160,Město Libavá,Olomouc,Olomoucký kraj,540,78307
500194,Polná na Šumavě,Český Krumlov,Jihočeský kraj,202,38229
500259,Veřovice,Nový Jičín,Moravskoslezský kraj,2009,74273
500291,Vřesina,Ostrava-město,Moravskoslezský kraj,2819,74285
500496,Olomouc,Olomouc,Olomoucký kraj,105297,77900|78301|78335
500526,Bělkovice-Lašťany,Olomouc,Olomoucký kraj,2315,78316
500623,Bílá Lhota,Olomouc,Olomoucký kraj,1146,78321|78324
500801,Blatec,Olomouc,Olomoucký kraj,645,78375
500852,Bohuňovice,Olomouc,Olomoucký kraj,2486,78314
500861,Bouzov,Olomouc,Olomoucký kraj,1508,78325
500879,Bystročice,Olomouc,Olomoucký kraj,842,77900
501476,Dlouhá Loučka,Olomouc,Olomoucký kraj,1983,78386
501646,Dolany,Olomouc,Olomoucký kraj,2876,78316
501751,Drahanovice,Olomouc,Olomoucký kraj,1811,78344
501794,Dub nad Moravou,Olomouc,Olomoucký kraj,1619,78375
501841,Grygov,Olomouc,Olomoucký kraj,1532,78373
502146,Hlubočky,Olomouc,Olomoucký kraj,4176,78361|78365
502235,Hněvotín,Olomouc,Olomoucký kraj,1842,78347
502405,Hnojice,Olomouc,Olomoucký kraj,659,78501
502545,Horka nad Moravou,Olomouc,Olomoucký kraj,2659,78335
502839,Cholina,Olomouc,Olomoucký kraj,721,78322
503142,Jívová,Olomouc,Olomoucký kraj,644,78316
503304,Kožušany-Tážaly,Olomouc,Olomoucký kraj,862,78375
503410,Žitovlice,Nymburk,Středočeský kraj,219,28934
503444,Litovel,Olomouc,Olomoucký kraj,9448,78321|78324|78401
503622,Luká,Olomouc,Olomoucký kraj,901,78324
503657,Lutín,Olomouc,Olomoucký kraj,3076,78342|78349
503738,Majetín,Olomouc,Olomoucký kraj,1212,75103
503916,Kostelec,Tachov,Plzeňský kraj,652,33023|34901
504246,Mladeč,Olomouc,Olomoucký kraj,730,78321|78401
504301,Dřenice,Chrudim,Pardubický kraj,413,53701
504441,Náklo,Olomouc,Olomoucký kraj,1494,78332
504505,Náměšť na Hané,Olomouc,Olomoucký kraj,2255,78344
504785,Paseka,Olomouc,Olomoucký kraj,1266,78386|78397
504807,Lány,Chrudim,Pardubický kraj,296,53701
504921,Třibřichy,Chrudim,Pardubický kraj,277,53701
504955,Dvakačovice,Chrudim,Pardubický kraj,139,53862
505005,Bítovany,Chrudim,Pardubický kraj,457,53851
505013,Příkazy,Olomouc,Olomoucký kraj,1311,78333
505030,Dolní Bezděkov,Chrudim,Pardubický kraj,271,53862
505081,Senice na Hané,Olomouc,Olomoucký kraj,1760,78322|78345
505099,Červená Hora,Náchod,Královéhradecký kraj,194,54941
505111,Slatinice,Olomouc,Olomoucký kraj,1593,78342
505145,Březová nad Svitavou,Svitavy,Pardubický kraj,1578,56902
505161,Štěpánov,Olomouc,Olomoucký kraj,3489,78313|78501
505188,Šternberk,Olomouc,Olomoucký kraj,13207,78501
505218,Šumvald,Olomouc,Olomoucký kraj,1639,78385
505269,Těšetice,Olomouc,Olomoucký kraj,1304,78346
505293,Troubelice,Olomouc,Olomoucký kraj,1840,78383
505366,Tršice,Olomouc,Olomoucký kraj,1889,78357
505391,Bělá u Jevíčka,Svitavy,Pardubický kraj,345,56943
505501,Újezd,Olomouc,Olomoucký kraj,1509,78396
505528,Jenčice,Litoměřice,Ústecký kraj,347,41115
505587,Uničov,Olomouc,Olomoucký kraj,11060,78391
505609,Velká Bystřice,Olomouc,Olomoucký kraj,3736,78353
505650,Velký Týnec,Olomouc,Olomoucký kraj,3211,78372
505668,Velký Újezd,Olomouc,Olomoucký kraj,1415,78355
505781,Zápy,Praha-východ,Středočeský kraj,974,25061
505862,Žerotín,Olomouc,Olomoucký kraj,446,78401
505927,Opava,Opava,Moravskoslezský kraj,54881,74601|74705|74706|74707|74728|74770|74773|74795
506192,Bohuslavice,Opava,Moravskoslezský kraj,1798,74719
506214,Bolatice,Opava,Moravskoslezský kraj,4508,74723
506320,Brumovice,Opava,Moravskoslezský kraj,1534,74771
506451,Březová,Opava,Moravskoslezský kraj,1410,74744
506460,Budišov nad Budišovkou,Opava,Moravskoslezský kraj,2787,74787
506486,Boží Dar,Karlovy Vary,Karlovarský kraj,250,36262
506494,Nové Hamry,Karlovy Vary,Karlovarský kraj,354,36221
506621,Čichalov,Karlovy Vary,Karlovarský kraj,158,36452|36453
506664,Skořice,Rokycany,Plzeňský kraj,280,33843
506699,Otmarov,Brno-venkov,Jihomoravský kraj,393,66457
506702,Dolní Benešov,Opava,Moravskoslezský kraj,3824,74722
506711,Dolní Lhota,Ostrava-město,Moravskoslezský kraj,1527,74766
506729,Dvorce,Jihlava,Kraj Vysočina,203,58805|58851
506737,Chvalčov,Kroměříž,Zlínský kraj,1597,76872
506753,Háj ve Slezsku,Opava,Moravskoslezský kraj,3241,74792
506761,Alojzov,Prostějov,Olomoucký kraj,259,79804
506770,Seloutky,Prostějov,Olomoucký kraj,543,79804
507016,Hlučín,Opava,Moravskoslezský kraj,13245,74801
507091,Nýdek,Frýdek-Místek,Moravskoslezský kraj,2047,73995
507105,Hněvošice,Opava,Moravskoslezský kraj,987,74735
507113,Holasovice,Opava,Moravskoslezský kraj,1372,74774
507181,Pržno,Frýdek-Místek,Moravskoslezský kraj,1098,73911
507237,Komorní Lhotka,Frýdek-Místek,Moravskoslezský kraj,1517,73953
507261,Hrabyně,Opava,Moravskoslezský kraj,1083,74763|74764|74767
507270,Hradec nad Moravicí,Opava,Moravskoslezský kraj,5444,74741|74784
507334,Chuchelná,Opava,Moravskoslezský kraj,1283,74724
507377,Jakartovice,Opava,Moravskoslezský kraj,1063,74753|74755
507423,Janovice,Frýdek-Místek,Moravskoslezský kraj,2052,73911
507458,Košařiska,Frýdek-Místek,Moravskoslezský kraj,361,73981
507504,Kobeřice,Opava,Moravskoslezský kraj,3194,74727
507547,Milíkov,Frýdek-Místek,Moravskoslezský kraj,1305,73981
507580,Kravaře,Opava,Moravskoslezský kraj,6691,74721
507610,Doňov,Jindřichův Hradec,Jihočeský kraj,75,37821
507628,Pleše,Jindřichův Hradec,Jihočeský kraj,183,37821
507644,Újezdec,Jindřichův Hradec,Jihočeský kraj,72,37821
507652,Višňová,Jindřichův Hradec,Jihočeský kraj,100,37821
507695,Záhoří,Jindřichův Hradec,Jihočeský kraj,110,37821
507717,Peč,Jindřichův Hradec,Jihočeský kraj,460,38001
507733,Březina,Jindřichův Hradec,Jihočeský kraj,127,37821
507784,Ratiboř,Jindřichův Hradec,Jihočeský kraj,206,37701|37821
507920,Litultovice,Opava,Moravskoslezský kraj,929,74755
507971,Ludgeřovice,Opava,Moravskoslezský kraj,4959,74714
508004,Roseč,Jindřichův Hradec,Jihočeský kraj,227,37846
508128,Markvartovice,Opava,Moravskoslezský kraj,2219,74714
508144,Melč,Opava,Moravskoslezský kraj,652,74784
508152,Střížovice,Jindřichův Hradec,Jihočeský kraj,565,37701|37853
508357,Kostelní Vydří,Jindřichův Hradec,Jihočeský kraj,164,38001
508373,Mokré Lazce,Opava,Moravskoslezský kraj,1144,74762
508501,Lužnice,Jindřichův Hradec,Jihočeský kraj,423,37901
508683,Záblatí,Jindřichův Hradec,Jihočeský kraj,103,37901
509078,Plavsko,Jindřichův Hradec,Jihočeský kraj,480,37802
509108,Kostelní Radouň,Jindřichův Hradec,Jihočeský kraj,298,37842
509116,Červený Hrádek,Jindřichův Hradec,Jihočeský kraj,197,38001
509141,Dvory nad Lužnicí,Jindřichův Hradec,Jihočeský kraj,365,37808
509191,Cep,Jindřichův Hradec,Jihočeský kraj,205,37901
509388,Arneštovice,Pelhřimov,Kraj Vysočina,92,39501
509418,Bořetín,Pelhřimov,Kraj Vysočina,112,39470
509574,Oldřišov,Opava,Moravskoslezský kraj,1438,74733
509612,Otice,Opava,Moravskoslezský kraj,1525,74781
509621,Předotice,Písek,Jihočeský kraj,606,39701
509647,Píšť,Opava,Moravskoslezský kraj,2115,74718
509736,Pustá Polom,Opava,Moravskoslezský kraj,1320,74769
509752,Křižanov,Písek,Jihočeský kraj,94,39843
509841,Raduň,Opava,Moravskoslezský kraj,1184,74761
510068,Čečelovice,Strakonice,Jihočeský kraj,185,38801
510131,Skřipov,Opava,Moravskoslezský kraj,1025,74301|74741|74745
510289,Slavkov,Opava,Moravskoslezský kraj,2131,74757
510297,Služovice,Opava,Moravskoslezský kraj,852,74728
510343,Stěbořice,Opava,Moravskoslezský kraj,1448,74601|74751
510378,Sudice,Opava,Moravskoslezský kraj,635,74725
510432,Šilheřovice,Opava,Moravskoslezský kraj,1622,71100|74715
510483,Štěpánkovice,Opava,Moravskoslezský kraj,3154,74728
510491,Štítina,Opava,Moravskoslezský kraj,1281,74791
510556,Láz,Třebíč,Kraj Vysočina,289,67541
510645,Kojatín,Třebíč,Kraj Vysočina,87,67503
510882,Velká Polom,Ostrava-město,Moravskoslezský kraj,2217,74764
510891,Velké Heraltice,Opava,Moravskoslezský kraj,1629,74775
510939,Velké Hoštice,Opava,Moravskoslezský kraj,1846,74731
510980,Ocmanice,Třebíč,Kraj Vysočina,335,67571
511021,Vítkov,Opava,Moravskoslezský kraj,5430,74747|74784|74901
511081,Sedlec,Třebíč,Kraj Vysočina,246,67571
511161,Vršovice,Opava,Moravskoslezský kraj,526,74761
511242,Vícenice u Náměště nad Oslavou,Třebíč,Kraj Vysočina,423,67571
511307,Rácovice,Třebíč,Kraj Vysočina,124,67532
511382,Přerov,Přerov,Olomoucký kraj,40492,75002|75124|75127
511412,Oslavička,Žďár nad Sázavou,Kraj Vysočina,131,67505
511587,Josefov,Sokolov,Karlovarský kraj,442,35709
511633,Bocanovice,Frýdek-Místek,Moravskoslezský kraj,498,73991
511935,Bukovec,Frýdek-Místek,Moravskoslezský kraj,1391,73985
511951,Dolní Lomná,Frýdek-Místek,Moravskoslezský kraj,914,73991
511986,Horní Lomná,Frýdek-Místek,Moravskoslezský kraj,381,73991
512028,Písek,Frýdek-Místek,Moravskoslezský kraj,1882,73984
512176,Hrádek,Frýdek-Místek,Moravskoslezský kraj,1908,73997
512184,Metylovice,Frýdek-Místek,Moravskoslezský kraj,1790,73949
512192,Horní Domaslavice,Frýdek-Místek,Moravskoslezský kraj,1109,73951
512231,Bělotín,Přerov,Olomoucký kraj,1883,75364
512281,Beňov,Přerov,Olomoucký kraj,662,75002|75115
512401,Bezuchov,Přerov,Olomoucký kraj,182,75354
512532,Bochoř,Přerov,Olomoucký kraj,962,75002
512745,Těškovice,Opava,Moravskoslezský kraj,817,74764
512800,Brodek u Přerova,Přerov,Olomoucký kraj,1843,75103
512826,Buk,Přerov,Olomoucký kraj,385,75121
512869,Strahovice,Opava,Moravskoslezský kraj,904,74724
512877,Býškovice,Přerov,Olomoucký kraj,373,75353
512893,Nové Lublice,Opava,Moravskoslezský kraj,186,74901
512907,Kyjovice,Opava,Moravskoslezský kraj,870,74768
512923,Chlebičov,Opava,Moravskoslezský kraj,1188,74731
512974,Bělá,Opava,Moravskoslezský kraj,648,74723
512982,Citov,Přerov,Olomoucký kraj,520,75103
512991,Drnek,Kladno,Středočeský kraj,185,27377
