contact_id,brief_id,level,lsm,overlap,chars
1,1,0,0.6844,0.0,330
1,26,0,0.4047,0.0,105
1,10,0,0.5209,0.0,341
1,1,1,0.6734,0.0,341
1,26,1,0.4237,0.0,114
1,10,1,0.5192,0.0,349
1,1,2,0.6734,0.0,340
1,26,2,0.4237,0.0,116
1,10,2,0.5192,0.0,350
1,1,3a,0.5847,0.1,238
1,26,3b,0.4237,0.0,113
1,26,3c,0.2801,0.0,87
1,1,3,0.6829,0.1,359
1,26,3,0.4237,0.0,111
1,10,3,0.2548,0.0,44
1,26,4,0.4123,0.05,132
1,1,5,0.609,0.15,267
1,26,5,0.4264,0.0,119
1,10,5,0.4549,0.0,252
1,26,6a,0.5347,0.15,239
1,26,6b,0.4237,0.0,111
1,10,6c,0.429,0.0,209
1,26,6d,0.3877,0.05,262
1,1,6,0.5727,0.15,389
1,26,6,0.5525,0.15,204
1,10,6,0.5058,0.05,336
11,1,0,0.6374,0.0,330
11,26,0,0.4043,0.0,105
11,10,0,0.5244,0.0,341
11,1,1,0.6187,0.0,352
11,26,1,0.4285,0.0,125
11,10,1,0.5295,0.0,360
11,1,2,0.6187,0.0,351
11,26,2,0.4285,0.0,127
11,10,2,0.5295,0.0,363
11,1,3a,0.4927,0.05,259
11,26,3b,0.4285,0.0,126
11,26,3c,0.4285,0.0,126
11,1,3,0.6187,0.0,351
11,26,3,0.4177,0.0,140
11,10,3,0.5275,0.25,343
11,26,4,0.4346,0.0,133
11,1,5,0.4928,0.0,248
11,26,5,0.5241,0.05,172
11,10,5,0.485,0.25,381
11,26,6a,0.5519,0.0,206
11,26,6b,0.4346,0.0,133
11,10,6c,0.4804,0.2,372
11,26,6d,0.5197,0.1,369
11,1,6,0.4527,0.1,286
11,26,6,0.5478,0.15,215
11,10,6,0.5704,0.15,345
13,1,0,0.6756,0.0,330
13,26,0,0.3947,0.0,105
13,10,0,0.509,0.0,341
13,1,1,0.667,0.0,350
13,26,1,0.4206,0.0,123
13,10,1,0.5139,0.0,358
13,1,2,0.6643,0.0,350
13,26,2,0.4206,0.0,125
13,10,2,0.5139,0.0,361
13,1,3a,0.6916,0.05,327
13,26,3b,0.4206,0.0,124
13,26,3c,0.4206,0.0,125
13,1,3,0.618,0.15,300
13,26,3,0.4206,0.0,122
13,10,3,0.5746,0.0,325
13,26,4,0.5403,0.0,166
13,1,5,0.3854,0.0,207
13,26,5,0.5439,0.0,152
13,10,5,0.4493,0.0,266
13,26,6a,0.5794,0.0,163
13,26,6b,0.5403,0.0,163
13,10,6c,0.4837,0.0,226
13,26,6d,0.4295,0.05,349
13,1,6,0.5243,0.05,330
13,26,6,0.5636,0.0,146
13,10,6,0.5174,0.0,356
426,1,0,,,330
426,26,0,,,105
426,10,0,,,341
426,1,1,,,350
426,26,1,,,123
426,10,1,,,358
426,1,2,,,350
426,26,2,,,124
426,10,2,,,361
426,1,3d,,,349
2,1,0,0.6722,0.0,330
2,26,0,0.4136,0.0,105
2,10,0,0.5178,0.1,341
2,1,1,0.6615,0.0,341
2,26,1,0.427,0.0,114
2,10,1,0.5215,0.1,350
2,1,2,0.6615,0.0,341
2,26,2,0.427,0.0,116
2,10,2,0.5215,0.1,352
2,1,3a,0.6853,0.1,336
2,26,3b,0.427,0.0,113
2,26,3c,0.427,0.0,113
